date,confirmed_cases,hosp_cases,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,death,Face_Masks_Required_in_Public,unemployment_rate,mask_required,population,rolling_cc_avg,rolling_cc_avg_diff,population_at_risk,daily_rate_of_infection,change_in_daily_rate_of_infection,rolling_death_avg
2020-07-24,237.0,,,,,,,,,,1.0,Yes,,1,957419,50.285714285714285,27.857142857142858,957368.7142857143,2.9097611444224878e-05,0.0031186609942533386,1.0
2020-07-25,0.0,,,,,,,,,,0.0,Yes,,1,957419,50.285714285714285,0.0,957368.7142857143,0.0,-0.0029097611444224877,1.0
2020-07-26,0.0,19.0,,,,,,,,,0.0,Yes,,1,957419,50.285714285714285,0.0,957368.7142857143,0.0,0.0,1.0
2020-07-27,38.0,18.0,,,,,,,,,0.0,Yes,,1,957419,49.57142857142857,-0.7142857142857153,957369.4285714285,-7.460920444802182e-07,-7.460920444802182e-05,0.42857142857142855
2020-07-28,35.0,19.0,,,,,,,,,1.0,Yes,,1,957419,53.0,3.4285714285714306,957366.0,3.5812546388439014e-06,0.000432734668332412,0.5714285714285714
2020-07-29,239.0,27.0,,,,,,,,,1.0,Yes,,1,957419,81.28571428571429,28.285714285714292,957337.7142857143,2.9546223724006045e-05,0.0025964969085162143,0.7142857142857143
2020-07-30,53.0,28.0,,,,,,,,,2.0,Yes,,1,957419,86.0,4.714285714285708,957333.0,4.92439487021309e-06,-0.0024621828853792953,0.7142857142857143
2020-07-31,7.0,,,,,,,,,,0.0,Yes,,1,957419,53.142857142857146,-32.857142857142854,957365.8571428572,-3.4320362076835524e-05,-0.0039244756947048615,0.5714285714285714
2020-08-01,0.0,,,,,,,,,,0.0,Yes,8.4,1,957419,53.142857142857146,0.0,957365.8571428572,0.0,0.0034320362076835525,0.5714285714285714
2020-08-02,0.0,13.0,,,,,,,,,0.0,Yes,,1,957419,53.142857142857146,0.0,957365.8571428572,0.0,0.0,0.5714285714285714
2020-08-03,77.0,15.0,,,,,,,,,2.0,Yes,,1,957419,58.714285714285715,5.571428571428569,957360.2857142857,5.819573523745798e-06,0.0005819573523745798,0.8571428571428571
